time_period_id,time_period_type,year_label,start_year,end_year,start_date,end_date,calendar_year,financial_year_label,financial_year_start,financial_year_end
1,calendar_year,2000,2000,2000,2000-01-01,2000-12-31,2000,,,
2,financial_year,2000-01,2000,2001,2000-04-01,2001-03-31,,2000-01,2000,2001
3,calendar_year,2001,2001,2001,2001-01-01,2001-12-31,2001,,,
4,financial_year,2001-02,2001,2002,2001-04-01,2002-03-31,,2001-02,2001,2002
5,calendar_year,2002,2002,2002,2002-01-01,2002-12-31,2002,,,
6,financial_year,2002-03,2002,2003,2002-04-01,2003-03-31,,2002-03,2002,2003
7,calendar_year,2003,2003,2003,2003-01-01,2003-12-31,2003,,,
8,financial_year,2003-04,2003,2004,2003-04-01,2004-03-31,,2003-04,2003,2004
9,calendar_year,2004,2004,2004,2004-01-01,2004-12-31,2004,,,
10,financial_year,2004-05,2004,2005,2004-04-01,2005-03-31,,2004-05,2004,2005
11,calendar_year,2005,2005,2005,2005-01-01,2005-12-31,2005,,,
12,financial_year,2005-06,2005,2006,2005-04-01,2006-03-31,,2005-06,2005,2006
13,calendar_year,2006,2006,2006,2006-01-01,2006-12-31,2006,,,
14,financial_year,2006-07,2006,2007,2006-04-01,2007-03-31,,2006-07,2006,2007
15,calendar_year,2007,2007,2007,2007-01-01,2007-12-31,2007,,,
16,financial_year,2007-08,2007,2008,2007-04-01,2008-03-31,,2007-08,2007,2008
17,calendar_year,2008,2008,2008,2008-01-01,2008-12-31,2008,,,
18,financial_year,2008-09,2008,2009,2008-04-01,2009-03-31,,2008-09,2008,2009
19,calendar_year,2009,2009,2009,2009-01-01,2009-12-31,2009,,,
20,financial_year,2009-10,2009,2010,2009-04-01,2010-03-31,,2009-10,2009,2010
21,calendar_year,2010,2010,2010,2010-01-01,2010-12-31,2010,,,
22,financial_year,2010-11,2010,2011,2010-04-01,2011-03-31,,2010-11,2010,2011
23,calendar_year,2011,2011,2011,2011-01-01,2011-12-31,2011,,,
24,financial_year,2011-12,2011,2012,2011-04-01,2012-03-31,,2011-12,2011,2012
25,calendar_year,2012,2012,2012,2012-01-01,2012-12-31,2012,,,
26,financial_year,2012-13,2012,2013,2012-04-01,2013-03-31,,2012-13,2012,2013
27,calendar_year,2013,2013,2013,2013-01-01,2013-12-31,2013,,,
28,financial_year,2013-14,2013,2014,2013-04-01,2014-03-31,,2013-14,2013,2014
29,calendar_year,2014,2014,2014,2014-01-01,2014-12-31,2014,,,
30,financial_year,2014-15,2014,2015,2014-04-01,2015-03-31,,2014-15,2014,2015
31,calendar_year,2015,2015,2015,2015-01-01,2015-12-31,2015,,,
32,financial_year,2015-16,2015,2016,2015-04-01,2016-03-31,,2015-16,2015,2016
33,calendar_year,2016,2016,2016,2016-01-01,2016-12-31,2016,,,
34,financial_year,2016-17,2016,2017,2016-04-01,2017-03-31,,2016-17,2016,2017
35,calendar_year,2017,2017,2017,2017-01-01,2017-12-31,2017,,,
36,financial_year,2017-18,2017,2018,2017-04-01,2018-03-31,,2017-18,2017,2018
37,calendar_year,2018,2018,2018,2018-01-01,2018-12-31,2018,,,
38,financial_year,2018-19,2018,2019,2018-04-01,2019-03-31,,2018-19,2018,2019
39,calendar_year,2019,2019,2019,2019-01-01,2019-12-31,2019,,,
40,financial_year,2019-20,2019,2020,2019-04-01,2020-03-31,,2019-20,2019,2020
41,calendar_year,2020,2020,2020,2020-01-01,2020-12-31,2020,,,
42,financial_year,2020-21,2020,2021,2020-04-01,2021-03-31,,2020-21,2020,2021
43,calendar_year,2021,2021,2021,2021-01-01,2021-12-31,2021,,,
44,financial_year,2021-22,2021,2022,2021-04-01,2022-03-31,,2021-22,2021,2022
45,calendar_year,2022,2022,2022,2022-01-01,2022-12-31,2022,,,
46,financial_year,2022-23,2022,2023,2022-04-01,2023-03-31,,2022-23,2022,2023
47,calendar_year,2023,2023,2023,2023-01-01,2023-12-31,2023,,,
48,financial_year,2023-24,2023,2024,2023-04-01,2024-03-31,,2023-24,2023,2024
49,calendar_year,2024,2024,2024,2024-01-01,2024-12-31,2024,,,
50,financial_year,2024-25,2024,2025,2024-04-01,2025-03-31,,2024-25,2024,2025
51,calendar_year,2025,2025,2025,2025-01-01,2025-12-31,2025,,,
52,financial_year,2025-26,2025,2026,2025-04-01,2026-03-31,,2025-26,2025,2026
53,calendar_year,2026,2026,2026,2026-01-01,2026-12-31,2026,,,
54,financial_year,2026-27,2026,2027,2026-04-01,2027-03-31,,2026-27,2026,2027
55,calendar_year,2027,2027,2027,2027-01-01,2027-12-31,2027,,,
56,financial_year,2027-28,2027,2028,2027-04-01,2028-03-31,,2027-28,2027,2028
57,calendar_year,2028,2028,2028,2028-01-01,2028-12-31,2028,,,
58,financial_year,2028-29,2028,2029,2028-04-01,2029-03-31,,2028-29,2028,2029
59,calendar_year,2029,2029,2029,2029-01-01,2029-12-31,2029,,,
60,financial_year,2029-30,2029,2030,2029-04-01,2030-03-31,,2029-30,2029,2030
